id,name,active
476,anim_rtmotion_left_getout_01,1
477,anim_knowledgegraph_fail_01,1
478,anim_driving_upset_loop_01,1
479,anim_eyecontact_smile_01_head_angle_40,1
480,anim_eyepose_curious,1
481,anim_movement_comehere_greeting_01,1
482,anim_hiking_react_04,1
483,anim_eyepose_joy,1
484,anim_gazing_lookatfaces_getin_left_01_head_angle_40,1
485,anim_wakeword_turn_left_45degrees_01,1
486,anim_gazing_lookatsurfaces_turn_left_01,1
487,anim_wakeword_idk_03,1
488,anim_referencing_smile_01_head_angle_40,1
489,anim_slowpoke_loop_03,1
490,anim_qa_reset_to_neutral,1
491,anim_gazing_lookatvector_reaction_01_head_angle_40,1
492,anim_rtpickup_putdown_04,1
493,anim_petting_lvl2_01,1
494,anim_rtmotion_forwardup_01,1
495,anim_greeting_hello_01,1
496,anim_greeting_hello_02,1
497,anim_weather_cloud_01,1
498,anim_movement_lookinplaceforfaces_medium_head_angle_20,1
499,anim_generic_look_stright_01,1
500,anim_freeplay_reacttoface_sayname_02_head_angle_20,1
501,anim_slowpoke_getin_03,1
502,anim_weather_stars_01,1
503,anim_weather_snow_01,1
504,anim_explorer_idle_02,1
505,anim_snowglobe_rtonhand_01,1
506,soundTestAnim,1
507,anim_wakeword_turn_right_45degrees_01,1
508,anim_reacttocliff_turtlerollfail_01,1
509,anim_movement_alreadyhere_01_head_angle_-20,1
510,anim_reacttocliff_reaction_back_01,1
511,anim_onboarding_cube_drive_loop_01,1
512,anim_blackjack_victorwin_01,1
513,anim_referencing_squint_01_head_angle_-20,1
514,anim_pounce_success_02,1
515,anim_blackjack_ok_01,1
516,anim_qa_head_updown_alt,1
517,anim_rtshake_lv1rtonhand_01,1
518,anim_explorer_idle_02_head_angle_-20,1
519,anim_petting_lvl2_getout_01,1
520,anim_chargerdocking_request1_01,1
521,anim_rtsound_offcharger_asleep_right_01,1
522,anim_gotosleep_sleeping_02,1
523,anim_observing_distance_area_01,1
524,anim_freeplay_reacttoface_sayname_01_head_angle_-20,1
525,anim_explorer_idle_02_head_angle_40,1
526,anim_onboarding_cube_psychic_01,1
527,anim_keepaway_driving_loop_01,1
528,anim_keepaway_pounce_slow_05,1
529,anim_dancebeat_listening_01,1
